Restaurant_Name,Location,Cuisine,Rating,Address,Map
Madchef - Banani,Gulshan,Burgers,4.5/5,"Madchef - Banani,Gulshan",https://maps.app.goo.gl/U8FWbBxZhectyAJVA
VIP Shad Fuchka & Chotpoti,Gulshan,Chotpoti & Fuchka,4.3/5,"VIP Shad Fuchka & Chotpoti,Gulshan",https://maps.app.goo.gl/Xdo6twebfAS58NW18
Japanese Restaurant Takumi,Gulshan,Japanese,4.5/5,"Japanese Restaurant Takumi,Gulshan",https://maps.app.goo.gl/4J7VGQkFtUtP4Qp2A
Bella Italia - Gulshan,Gulshan,Pizza,4.5/5,"Bella Italia - Gulshan,Gulshan",https://maps.app.goo.gl/RSQNkaKacBp6p2E6A
Glazed - Gulshan,Gulshan,Dessert,4.5/5,"Glazed - Gulshan,Gulshan",https://maps.app.goo.gl/nmeGWGAW9qCeu3Dz8
Herfy - Gulshan,Gulshan,Fast Food,4.5/5,"Herfy - Gulshan,Gulshan",https://maps.app.goo.gl/QuSZsZo9deXJ6uRp7
Chillox - Mohakhali,Gulshan,Burgers,4.3/5,"Chillox - Mohakhali,Gulshan",https://maps.app.goo.gl/4XRZjVgxiMiUv3E16
Holey Bakery,Gulshan,Cakes,4.6/5,"Holey Bakery,Gulshan",https://maps.app.goo.gl/jjGchhBxbRMrNrYd8
Galito's - Gulshan,Gulshan,Snacks,4.4/5,"Galito's - Gulshan,Gulshan",https://maps.app.goo.gl/y3jGFs4SSXRQrWaS7
KFC - Merul Badda,Gulshan,Fried Chicken,4.1/5,"KFC - Merul Badda,Gulshan",https://maps.app.goo.gl/RvPwZ5nC4o7TNB9X8
Pizza Roma,Gulshan,Pizza,4.3/5,"Pizza Roma,Gulshan",https://maps.app.goo.gl/bQFTE7AMBdM4CgAC7
Shawarma House - Banani,Gulshan,Shawarma,4.3/5,"Shawarma House - Banani,Gulshan",https://maps.app.goo.gl/nGGFudotvQYSuCdj6
Thai Emerald - Gulshan,Gulshan,Chinese,4.3/5,"Thai Emerald - Gulshan,Gulshan",https://maps.app.goo.gl/JCiEW8EXAybcAqzd7
Burger Mania - Gulshan,Gulshan,Burgers,4.3/5,"Burger Mania - Gulshan,Gulshan",https://maps.app.goo.gl/iNpg5W8ZymbAbNP5A
Street Oven - Gulshan,Gulshan,Pizza,3.8/5,"Street Oven - Gulshan,Gulshan",https://maps.app.goo.gl/9K44njE847ataYUSA
Tiffinbox,Gulshan,Snacks,4.1/5,"Tiffinbox,Gulshan",https://maps.app.goo.gl/WdVjwEjn12WTXtpT8
Hakka Dhaka - Banani,Gulshan,Chinese,4.2/5,"Hakka Dhaka - Banani,Gulshan",https://maps.app.goo.gl/SEG2Ex2YD4FsMWyLA
Bachelor's Mohakhali,Gulshan,Fast Food,4/5,"Bachelor's Mohakhali,Gulshan",https://maps.app.goo.gl/YR2w9qGmbiL3LQkSA
Tokyo Express,Gulshan,Japanese,4.3/5,"Tokyo Express,Gulshan",https://maps.app.goo.gl/5seDs6uoqzijk6Ty9
Premium Sweets- Gulshan 2,Gulshan,Dessert,4.5/5,"Premium Sweets- Gulshan 2,Gulshan",https://maps.app.goo.gl/iFZQudxN4HWPzJdf6
Durum (Turkish Doner),Gulshan,Wraps,4.5/5,"Durum (Turkish Doner),Gulshan",https://maps.app.goo.gl/xhePF5kCjygdU9KPA
Kudos - Badda,Gulshan,Fast Food,3.7/5,"Kudos - Badda,Gulshan",https://maps.app.goo.gl/KzGC9DFozEpDoAXB8
Top Dog,Gulshan,Fast Food,3.7/5,"Top Dog,Gulshan",https://maps.app.goo.gl/7cH4ecsZRDfhFrZY9
The Manhattan Fish Market Bangladesh - Banani,Gulshan,Seafood,4.3/5,"The Manhattan Fish Market Bangladesh - Banani,Gulshan",https://maps.app.goo.gl/TQgKDGCBVkuPWY33A
PastaMania,Gulshan,Italian,4.3/5,"PastaMania,Gulshan",https://maps.app.goo.gl/LnFDNh9Vv3DJxGQF9
Spaghetti Jazz,Gulshan,Fast Food,4.6/5,"Spaghetti Jazz,Gulshan",https://maps.app.goo.gl/vz41JYewwgc547Ps8
Sushi Tei,Gulshan,Japanese,4.3/5,"Sushi Tei,Gulshan",https://maps.app.goo.gl/26iVCFKmSCB1D98L9
Kiyoshi,Gulshan,Japanese,4.3/5,"Kiyoshi,Gulshan",https://maps.app.goo.gl/CJgTN7ABG6C2Fntn8
American Burger Gulshan 2,Gulshan,Burgers,4.5/5,"American Burger Gulshan 2,Gulshan",https://maps.app.goo.gl/T4iYK5YvEDfga9ev5
Tabaq Coffee Gulshan Avenue,Gulshan,Cafe,4.7/5,"Tabaq Coffee Gulshan Avenue,Gulshan",https://maps.app.goo.gl/t2asFBs2BS7CFN9b8
Tastebud Banani,Gulshan,Dessert,4.4/5,"Tastebud Banani,Gulshan",https://maps.app.goo.gl/8AdoDQ988W2nb6BR7
Royal Fried Chicken and Catering Service,Gulshan,Chicken,4/5,"Royal Fried Chicken and Catering Service,Gulshan",https://maps.app.goo.gl/aanQNPotrjpxyQ3h6
Chows,Gulshan,Chinese,4.3/5,"Chows,Gulshan",https://maps.app.goo.gl/xNxHjTFSr69sBfKS9
Pizza Hut-RM Center,Gulshan,Pizza,4.3/5,"Pizza Hut-RM Center,Gulshan",https://maps.app.goo.gl/vrWqGxnFuTZJMy2a7
Sub Lover's - Police Plaza,Gulshan,Fast Food,4/5,"Sub Lover's - Police Plaza,Gulshan",https://maps.app.goo.gl/tF6pWyDLxUEkXbaa9
Dhaba Banani,Gulshan,Indian,3.9/5,"Dhaba Banani,Gulshan",https://maps.app.goo.gl/aQY5KnFxTqekFk4Y8
Fuwang Shawarma- Gulshan,Gulshan,Shawarma,3.9/5,"Fuwang Shawarma- Gulshan,Gulshan",https://maps.app.goo.gl/znTHS3FYMg6sNDan9
BBQ Bangladesh - Banani,Gulshan,Chicken,4.3/5,"BBQ Bangladesh - Banani,Gulshan",https://maps.app.goo.gl/JtCLieztXnPxUvZX9
Panda Dumplings,Gulshan,Dumpling,4.3/5,"Panda Dumplings,Gulshan",https://maps.app.goo.gl/3hdHokevuc4MbSFC9
Shiraj Chui Gosto - Banani,Gulshan,Bangladeshi,4/5,"Shiraj Chui Gosto - Banani,Gulshan",https://maps.app.goo.gl/Y8NE2aLEQyHHZ2Bo6
Dumplings Of Fury by Picnic,Gulshan,Dumpling,4/5,"Dumplings Of Fury by Picnic,Gulshan",https://maps.app.goo.gl/DBcmV5mGmwkD3hCn9
Al Nur Biryani House,Gulshan,Biryani,3.4/5,"Al Nur Biryani House,Gulshan",https://maps.app.goo.gl/pWDUe4RYXbmziotH7
Taqueria Lola,Gulshan,Mexican,4.5/5,"Taqueria Lola,Gulshan",https://maps.app.goo.gl/jxjtBHhESPFkTG8H9
Soi 71 - Gulshan,Gulshan,Thai,4.5/5,"Soi 71 - Gulshan,Gulshan",https://maps.app.goo.gl/BsnWCJZNUyY2QxqB7
Love Triangle,Gulshan,Snacks,4/5,"Love Triangle,Gulshan",https://maps.app.goo.gl/utPdCFSfbbbW6a736
Pan Tao,Gulshan,Chinese,4/5,"Pan Tao,Gulshan",https://maps.app.goo.gl/HDFEyZEfGZHiJ5mbA
TOUM - Banani,Gulshan,Middle Eastern,4.4/5,"TOUM - Banani,Gulshan",https://maps.app.goo.gl/TXXXrf9LF8nPyS8V9
Star Kabab - Banani,Gulshan,Kebab,4.3/5,"Star Kabab - Banani,Gulshan",https://maps.app.goo.gl/Qx2V26qPWZND3GUZ6
Aylanto,Gulshan,Chinese,2.6/5,"Aylanto,Gulshan",https://maps.app.goo.gl/vcWEstvykdFgFFdG7
Sai Gon Kitchen,Gulshan,Noodles,4.2/5,"Sai Gon Kitchen,Gulshan",https://maps.app.goo.gl/87oiHNtdSr5VR1A88
Dos Locos Mexican Grill,Gulshan,Mexican,4.1/5,"Dos Locos Mexican Grill,Gulshan",https://maps.app.goo.gl/NKkthtuSBJTxkizx9
Bowled Out,Gulshan,Rice Dishes,4.1/5,"Bowled Out,Gulshan",https://maps.app.goo.gl/XjE6RkwU1bFRZPDY6
Farzi Cafe Dhaka,Gulshan,Indian,3.8/5,"Farzi Cafe Dhaka,Gulshan",https://maps.app.goo.gl/QB35nd1yN8AqpwoL6
Bikrampur Mistanno Vandar,Gulshan,Sweets,2.1/5,"Bikrampur Mistanno Vandar,Gulshan",https://maps.app.goo.gl/hRGKVES9XcAEXDht5
Cheong Shing Chinese Restaurant,Gulshan,Chinese,4.2/5,"Cheong Shing Chinese Restaurant,Gulshan",https://maps.app.goo.gl/ofCH8ttcnrVQcuVg6
Fatema's Bonedi Khana,Gulshan,Curry,3.8/5,"Fatema's Bonedi Khana,Gulshan",https://maps.app.goo.gl/ZMC4i76t5MD2gVRq5
Afghan Grill Bd,Gulshan,Kebab,4.5/5,"Afghan Grill Bd,Gulshan",https://maps.app.goo.gl/UEPRas5receNuvLE9
Absolute Thai,Gulshan,Thai,4.3/5,"Absolute Thai,Gulshan",https://maps.app.goo.gl/fbw7qu9Nd5rb8eiC7
Cricketers Kitchen,Gulshan,Indian,4/5,"Cricketers Kitchen,Gulshan",https://maps.app.goo.gl/D6tqvK93GLuXU6PL9
Thai Signatures - Gulshan,Gulshan,Thai,4.2/5,"Thai Signatures - Gulshan,Gulshan",https://maps.app.goo.gl/myDcTqdP1dnjZYsj8
Tajine - Nawabi Cuisine,Gulshan,Curry,4.2/5,"Tajine - Nawabi Cuisine,Gulshan",https://maps.app.goo.gl/jeDqmwPt7ScRhKw47
Indian Spicy Chicken-Shahjadpur,Gulshan,Indian,3.3/5,"Indian Spicy Chicken-Shahjadpur,Gulshan",https://maps.app.goo.gl/JniRiTYigXyZ8ojh6
Sky Dine Rooftop Restaurant,Gulshan,Chinese,4.1/5,"Sky Dine Rooftop Restaurant,Gulshan",https://maps.app.goo.gl/jP3TEXd2evvQWibD9
Shawarma Damasco - Banani,Gulshan,Shawarma,2.2/5,"Shawarma Damasco - Banani,Gulshan",https://maps.app.goo.gl/6RqZYQX3FQjsrgEF9
Chow-Man,Gulshan,Chinese,4.8/5,"Chow-Man,Gulshan",https://maps.app.goo.gl/Dpfwurv1bumAi2qe7
Tehari Ghor DCC market,Gulshan,Rice Dishes,3.8/5,"Tehari Ghor DCC market,Gulshan",https://maps.app.goo.gl/EtXDvXFdD5yXdRFZ9
Chap Chai,Gulshan,Kebab,4/5,"Chap Chai,Gulshan",https://maps.app.goo.gl/1J64Fd2kBHtkZHJS8
Papa Louie's Pizza Bangladesh,Gulshan,Pizza,3.5/5,"Papa Louie's Pizza Bangladesh,Gulshan",https://maps.app.goo.gl/DRQVVwahWTKioK4b8
Wok & Fire,Gulshan,Chinese,4.2/5,"Wok & Fire,Gulshan",https://maps.app.goo.gl/3kWa1vxi5uBnpHiR8
Sky Dine Rooftop Restaurant Delivery (pandago),Gulshan,Chinese,3.4/5,"Sky Dine Rooftop Restaurant Delivery (pandago),Gulshan",https://maps.app.goo.gl/jP3TEXd2evvQWibD9
Mashallah Lacchi & Snacks - Badda,Gulshan,Beverage,3.5/5,"Mashallah Lacchi & Snacks - Badda,Gulshan",https://maps.app.goo.gl/1PeHTxS9ajfXfzbK9
Shack Burger,Gulshan,Burgers,4.1/5,"Shack Burger,Gulshan",https://maps.app.goo.gl/4pU99BPzRj5tNPyW7
Nori,Gulshan,Japanese,2.6/5,"Nori,Gulshan",https://maps.app.goo.gl/FuiEZjKdcSvqcFnv5
Pinewood Cafe & Kitchen,Gulshan,Fast Food,4.4/5,"Pinewood Cafe & Kitchen,Gulshan",https://maps.app.goo.gl/rpRrbvpaoyiaMXW18
Tripti Catering,Gulshan,Bangladeshi,3.9/5,"Tripti Catering,Gulshan",https://maps.app.goo.gl/stsSmEnysLQXVQhz9
Machan Restaurant - Gulshan,Gulshan,Kebab,3.7/5,"Machan Restaurant - Gulshan,Gulshan",https://maps.app.goo.gl/jxwBKp62EQmkDaxT9
Ruen Busaba,Gulshan,Thai,5/5,"Ruen Busaba,Gulshan",https://maps.app.goo.gl/XzfwZy9QH9unf92PA
Deliz,Gulshan,Cafe,3.9/5,"Deliz,Gulshan",https://maps.app.goo.gl/rtoN4H7LYfKZWGjD7
Khazana Mithai- Gulshan 2,Gulshan,Dessert,4.4/5,"Khazana Mithai- Gulshan 2,Gulshan",https://maps.app.goo.gl/mhKtzp7JCPaDa2Tb6
Kavazo - Banani,Gulshan,Dessert,4.5/5,"Kavazo - Banani,Gulshan",https://maps.app.goo.gl/WPucYdWvaeoghVnh9
Sweet Freeze,Gulshan,Dessert,4.7/5,"Sweet Freeze,Gulshan",https://maps.app.goo.gl/bfygMMcM4vuzTiQr8
Tempt-Asia Restaurant,Gulshan,Asian,4.3/5,"Tempt-Asia Restaurant,Gulshan",https://maps.app.goo.gl/3Uc4yPjoHjD6WbUY7
Eden,Gulshan,Beverage,4.3/5,"Eden,Gulshan",https://maps.app.goo.gl/55k9ianu3zreuNxU9
Villa Azzur,Gulshan,Thai,4.8/5,"Villa Azzur,Gulshan",https://maps.app.goo.gl/mN65VveLpFGRQ1jR7
Just Juice- Banani,Gulshan,Beverage,4.2/5,"Just Juice- Banani,Gulshan",https://maps.app.goo.gl/PjNtv1ffeVvquChr8
Kolpokar,Gulshan,Beverage,4.6/5,"Kolpokar,Gulshan",https://maps.app.goo.gl/r5dqGpkPGsaY8Sjr5
The White Canary Cafe,Gulshan,Cafe,4.3/5,"The White Canary Cafe,Gulshan",https://maps.app.goo.gl/o1CTXdUhCC56SQAEA
Nawab Chatga,Gulshan,Bangladeshi,3.9/5,"Nawab Chatga,Gulshan",https://maps.app.goo.gl/WwHgaDjtL9dcZ1Az5
George's Pizza,Gulshan,Fast Food,4/5,"George's Pizza,Gulshan",https://maps.app.goo.gl/Ljv3uLJGpF8QH4mx7
The Great Kabab Factory - Gulshan,Gulshan,Kebab,4/5,"The Great Kabab Factory - Gulshan,Gulshan",https://maps.app.goo.gl/XxSnhsX6nSh3ciq98
Chatime - Banani,Gulshan,Cafe,4.4/5,"Chatime - Banani,Gulshan",https://maps.app.goo.gl/rk3u4WsH1GJSGwqo8
Cafe Mario's,Gulshan,Fast Food,3.8/5,"Cafe Mario's,Gulshan",https://maps.app.goo.gl/WSP2t5m14JLuYkAz9
Boomers Cafe - Banani,Gulshan,Fast Food,4.4/5,"Boomers Cafe - Banani,Gulshan",https://maps.app.goo.gl/XBwshB6Zs8o1YQnK8
Habiby's,Gulshan,Asian,4.2/5,"Habiby's,Gulshan",https://maps.app.goo.gl/JN8NQEci6Ubxrzek9
Tokyo Kitchen,Gulshan,Japanese,4.2/5,"Tokyo Kitchen,Gulshan",https://maps.app.goo.gl/UQ7scmReStutNT6M7
Boss Sweets Gulshan,Gulshan,Dessert,4.6/5,"Boss Sweets Gulshan,Gulshan",https://maps.app.goo.gl/kbG39os7ha6fETuh7
Hello Dhaka,Gulshan,Curry,4.3/5,"Hello Dhaka,Gulshan",https://maps.app.goo.gl/Z3KPGarJGU87a82E6
Rosh - Gulshan 2,Gulshan,Dessert,4.6/5,"Rosh - Gulshan 2,Gulshan",https://maps.app.goo.gl/8CY97wiMb1VQFXtp6
Jerry Bees,Gulshan,Dessert,4.3/5,"Jerry Bees,Gulshan",https://maps.app.goo.gl/EAtJnTrbKhi4Qb7T8
Rashna Bilash,Gulshan,Asian,4.2/5,"Rashna Bilash,Gulshan",https://maps.app.goo.gl/duzowJLwaTP9RFeC7
Nobabi Voj Restaurant & Catering Service,Gulshan,Bangladeshi,3.8/5,"Nobabi Voj Restaurant & Catering Service,Gulshan",https://maps.app.goo.gl/9HzuH3svV1TtbkxX7
Chaap - The Pressure,Gulshan,Kebab,4/5,"Chaap - The Pressure,Gulshan",https://maps.app.goo.gl/PProcyTz6jinHxC89
Taltibaaz,Gulshan,Mexican,4/5,"Taltibaaz,Gulshan",https://maps.app.goo.gl/DoaRTzuwdPWzc3Vt6
Sultan's Dine - Gulshan,Gulshan,Biryani,4.2/5,"Sultan's Dine - Gulshan,Gulshan",https://maps.app.goo.gl/4exWrU8GDT1j22or8
Cha Chai / Roll Chai,Gulshan,Beverage,4.1/5,"Cha Chai / Roll Chai,Gulshan",https://maps.app.goo.gl/XwTB9ZbfrsjRpp2j6
Steak Republic,Gulshan,Asian,4.4/5,"Steak Republic,Gulshan",https://maps.app.goo.gl/q7XTacT965kxzpZL9
Bar-B-Q Tonight,Gulshan,Kebab,4.4/5,"Bar-B-Q Tonight,Gulshan",https://maps.app.goo.gl/4exwZEfjWeNBDf317
Banglar Mishti - Gulshan,Gulshan,Dessert,4.4/5,"Banglar Mishti - Gulshan,Gulshan",https://maps.app.goo.gl/8JrLdf7BN6iagke29
Foodista.BD,Gulshan,Fast Food,3.5/5,"Foodista.BD,Gulshan",https://maps.app.goo.gl/CHwYpQTgnUZY34tq8
Cafe Mario's - Banani,Gulshan,Mexican,3.7/5,"Cafe Mario's - Banani,Gulshan",https://maps.app.goo.gl/nx19VvJ7JHTTzhsT7
Tree House,Gulshan,Steak,4.5/5,"Tree House,Gulshan",https://maps.app.goo.gl/8J2fJW34xK4shswB8
Noodle Nest,Gulshan,Noodles,4.6/5,"Noodle Nest,Gulshan",https://maps.app.goo.gl/ryb8pSkvBBqiRiJB8
Bosphorus,Gulshan,Middle Eastern,2.8/5,"Bosphorus,Gulshan",https://maps.app.goo.gl/T62eNtxHfCjADaSH9
Talent Chef - Gulshan,Gulshan,Fast Food,4.3/5,"Talent Chef - Gulshan,Gulshan",https://maps.app.goo.gl/BAcR5A8pAV4YSzEB7
Sheesh Garden,Gulshan,Chinese,4.1/5,"Sheesh Garden,Gulshan",https://maps.app.goo.gl/gRQRmVazZWunt6X6A
C House Milano Bangladesh - Gulshan 1,Gulshan,Italian,2.3/5,"C House Milano Bangladesh - Gulshan 1,Gulshan",https://maps.app.goo.gl/AHystZsZZH3PSHzX7
Dragon Street,Gulshan,Fast Food,4/5,"Dragon Street,Gulshan",https://maps.app.goo.gl/4dxcKm1XkkY1eTjCA
Cafe Exile,Gulshan,Fast Food,3.8/5,"Cafe Exile,Gulshan",https://maps.app.goo.gl/Zky8f1dTon3W9Pe6A
Kahve Garden Cafe,Gulshan,Cafe,4.4/5,"Kahve Garden Cafe,Gulshan",https://maps.app.goo.gl/U21vPvm61BtSs629A
Smoke Music Cafe,Gulshan,Fast Food,3/5,"Smoke Music Cafe,Gulshan",https://maps.app.goo.gl/9nJb6RjK9eXpmh1x8
Muno Cafe Bisto - Gulshan,Gulshan,Fast Food,3.5/5,"Muno Cafe Bisto - Gulshan,Gulshan",https://maps.app.goo.gl/NMv5gd9ekD1JKS118
Salma's Kitchen,Gulshan,Bangladeshi,4.3/5,"Salma's Kitchen,Gulshan",https://maps.app.goo.gl/fPonW86BZ7t93yFFA
Doner Dude - Gulshan,Gulshan,Fast Food,4.3/5,"Doner Dude - Gulshan,Gulshan",https://maps.app.goo.gl/QBMyc46WdFLJNEdj7
Cafe Aaurhi,Gulshan,Fast Food,2/5,"Cafe Aaurhi,Gulshan",https://maps.app.goo.gl/c6fRUgTzpRv1QG838
Rizik Restaurant & Catering,Gulshan,Chinese,3.6/5,"Rizik Restaurant & Catering,Gulshan",https://maps.app.goo.gl/beJAarYTPATYtGNF8
The Dhaka Kathi Express,Gulshan,Kebab,4.2/5,"The Dhaka Kathi Express,Gulshan",https://maps.app.goo.gl/EDRNUHWbQS8M3XTA9
Emerald Bakery & Cafe,Gulshan,Cafe,2.6/5,"Emerald Bakery & Cafe,Gulshan",https://maps.app.goo.gl/UgcQ8nxD2LHxYFos7
Baoxi Kafei,Gulshan,Chinese,3.8/5,"Baoxi Kafei,Gulshan",https://maps.app.goo.gl/PnXMhjvMngMuGZKf8
Coffee Connoisseur - Gulshan 1,Gulshan,Cafe,4.1/5,"Coffee Connoisseur - Gulshan 1,Gulshan",https://maps.app.goo.gl/V2K13xujurABauF46
Tease by Picnic,Gulshan,Snacks,2.7/5,"Tease by Picnic,Gulshan",https://maps.app.goo.gl/wkZf3GDUDjvaK4TY7
Mezzan Haile Aaiun - Gulshan,Gulshan,Bangladeshi,4/5,"Mezzan Haile Aaiun - Gulshan,Gulshan",https://maps.app.goo.gl/Sygsf92DXdeNKhdY8
Grand Moharaj - Banani,Gulshan,Kebab,4.1/5,"Grand Moharaj - Banani,Gulshan",https://maps.app.goo.gl/NiLNQGEvJwK225kA7
Diggger - Mohakhali,Gulshan,Pizza,3.9/5,"Diggger - Mohakhali,Gulshan",https://maps.app.goo.gl/6F5rwvmYjywNP8c67
Selfie Lover Restaurant,Gulshan,Fast Food,3.6/5,"Selfie Lover Restaurant,Gulshan",https://maps.app.goo.gl/fjcQ6Km1MQbLVqrK6
Dragon Eye,Gulshan,Asian,3.8/5,"Dragon Eye,Gulshan",https://maps.app.goo.gl/c2A3oD4JjEc4LU169
Greens & Seeds -  Chef's Table Gulshan,Gulshan,Healthy,4.2/5,"Greens & Seeds -  Chef's Table Gulshan,Gulshan",https://maps.app.goo.gl/gEsAwxd7X3iW46is5
The Ruti Gosh,Gulshan,Curry,4/5,"The Ruti Gosh,Gulshan",https://maps.app.goo.gl/an1LZoYhxJgfRHJm8
Pizza Burg - Wari,Wari,Pizza,3.9/5,"Pizza Burg - Wari,Wari",https://maps.app.goo.gl/278MuCfqYxK46iqn8
Dream 20 Restaurant,Wari,Chinese,4.1/5,"Dream 20 Restaurant,Wari",https://maps.app.goo.gl/dWaFvT6FV6c5g5gw8
Biye Bari Biryani & Catering- Tikatoli,Wari,Biryani,3.4/5,"Biye Bari Biryani & Catering- Tikatoli,Wari",https://maps.app.goo.gl/VYk1ALxt6padzwC79
Orange Cafe - Wari,Wari,Cafe,4.1/5,"Orange Cafe - Wari,Wari",https://maps.app.goo.gl/SuDEXiFZHHsUUJX58
KFC Wari,Wari,Fried Chicken,4.2/5,"KFC Wari,Wari",https://maps.app.goo.gl/DaYLzY4j3RmQGWQaA
New Allahr Dan Biryani House,Wari,Rice Dishes,3.8/5,"New Allahr Dan Biryani House,Wari",https://maps.app.goo.gl/awoRbXM1UiNmqbFC6
Tk Milan Sonir Akhra,Wari,Beverage,3.3/5,"Tk Milan Sonir Akhra,Wari",https://maps.app.goo.gl/hJvWksqwVaNu4TpJ8
Kacchi Bhai - Shonir Akhra,Wari,Biryani,3.8/5,"Kacchi Bhai - Shonir Akhra,Wari",https://maps.app.goo.gl/7Y94ptUVEHYsfwgg7
Dine With Nina,Wari,Snacks,3.8/5,"Dine With Nina,Wari",https://maps.app.goo.gl/9mz7cMwbBPNAZqhRA
Nasrin's Cuisine,Wari,Rice Dishes,1.7/5,"Nasrin's Cuisine,Wari",https://maps.app.goo.gl/87gGsytomudMW66r5
TAWAZ- Sonir Akhra,Wari,Pizza,3.3/5,"TAWAZ- Sonir Akhra,Wari",https://maps.app.goo.gl/CQApT6PfsxscCPZW8
Cuisine Hut,Wari,Fast Food,3.6/5,"Cuisine Hut,Wari",https://maps.app.goo.gl/iXwV1mzdupb8zd3H7
Slieez - Wari,Wari,Fast Food,3.7/5,"Slieez - Wari,Wari",https://maps.app.goo.gl/QcWgqu8sBJAmhdz57
Jackson's Fried Chicken- Wari,Wari,Fried Chicken,3.7/5,"Jackson's Fried Chicken- Wari,Wari",https://maps.app.goo.gl/gduswZ2cWLbt6r9i9
The Rooftop@Rangs Tower,Wari,Chinese,4.4/5,"The Rooftop@Rangs Tower,Wari",https://maps.app.goo.gl/c5oXNLiC6izoxg1T8
Unique Restaurant & Party Center,Wari,Chinese,3.9/5,"Unique Restaurant & Party Center,Wari",https://maps.app.goo.gl/Q83CfK648pU3dXpj9
Runi's Kitchen,Wari,Bangladeshi,3.8/5,"Runi's Kitchen,Wari",https://maps.app.goo.gl/NTosszWKR9Yjs7dU6
Well Food - Wari,Wari,Dessert,4.4/5,"Well Food - Wari,Wari",https://maps.app.goo.gl/brPKx9eZDwmpiSz26
Khansama Restaurant,Wari,Bangladeshi,4.2/5,"Khansama Restaurant,Wari",https://maps.app.goo.gl/ydNpcsrDKspJHtJM8
Simla Dosa & Mini Chinese - Wari,Wari,Fast Food,2.9/5,"Simla Dosa & Mini Chinese - Wari,Wari",https://maps.app.goo.gl/wAEey9UcH2XXVZNz8
Twisty Pizza,Wari,Pizza,3.2/5,"Twisty Pizza,Wari",https://maps.app.goo.gl/k4RNKL8BwoooS6hU7
The Burgatory,Wari,Burgers,3.7/5,"The Burgatory,Wari",https://maps.app.goo.gl/qVetgNFwihTce2f29
TAWAZ- Sonir Akhra,Wari,Pizza,3.3/5,"TAWAZ- Sonir Akhra,Wari",https://maps.app.goo.gl/wDWc8mMggjt6BKqw5
Little Yellow - Wari,Wari,Burgers,4/5,"Little Yellow - Wari,Wari",https://maps.app.goo.gl/zMdxK2AGg71VJMfn9
Burger & Beyond - Shonirakhra,Wari,Burgers,3.4/5,"Burger & Beyond - Shonirakhra,Wari",https://maps.app.goo.gl/mqRVssBj28J93xyn7
UTSHOB,Wari,Bangladeshi,4.1/5,"UTSHOB,Wari",https://maps.app.goo.gl/tN6FdMHgRVC188Fi8
Shawarma King - Shonir Akhra,Wari,Shawarma,3.6/5,"Shawarma King - Shonir Akhra,Wari",https://maps.app.goo.gl/bJYPyocTg5Y79PyT9
Waijai Thaifoon,Wari,Seafood,4/5,"Waijai Thaifoon,Wari",https://maps.app.goo.gl/L97v5vicKH44QZat8
King's Confectionery - Wari,Wari,Cakes,3.6/5,"King's Confectionery - Wari,Wari",https://maps.app.goo.gl/dZSiN3PmNr1xjnEY9
Boss Sweets -Wari,Wari,Dessert,4.4/5,"Boss Sweets -Wari,Wari",https://maps.app.goo.gl/RBPLRSXnyQx5y31K9
Faisal Juice Bar & Indian Food - Tikatuli,Wari,Juice Corner,3.3/5,"Faisal Juice Bar & Indian Food - Tikatuli,Wari",https://maps.app.goo.gl/N4ohPtHVdSdvQqVCA
Nanna Biryani,Wari,Biryani,4/5,"Nanna Biryani,Wari",https://maps.app.goo.gl/uwsbidZN5MbNZMfz5
Indulge - Wari,Wari,Dessert,4.2/5,"Indulge - Wari,Wari",https://maps.app.goo.gl/oJwJEAc2xyUuJiQ5A
Burger Time,Wari,Burgers,3.8/5,"Burger Time,Wari",https://maps.app.goo.gl/82icUCogCbMy8UbX6
Tk Milan Sonir Akhra,Wari,Beverage,3.3/5,"Tk Milan Sonir Akhra,Wari",https://maps.app.goo.gl/EC5BbSE9LtjbYXsf7
Buriganga Riverview Restaurant,Wari,Asian,4.6/5,"Buriganga Riverview Restaurant,Wari",https://maps.app.goo.gl/24LHwGSzX8Xwb5RLA
Dine With Nina,Wari,Snacks,3.8/5,"Dine With Nina,Wari",https://maps.app.goo.gl/87gGsytomudMW66r5
Shazia's Kitchen,Wari,Bangladeshi,4.4/5,"Shazia's Kitchen,Wari",https://maps.app.goo.gl/NTosszWKR9Yjs7dU6
Star Kabab & Restaurant-Joy Kali Mondir,Wari,Bangladeshi,4.1/5,"Star Kabab & Restaurant-Joy Kali Mondir,Wari",https://maps.app.goo.gl/BjHNsvceL7uxrfDQ8
Nasrin's Cuisine,Wari,Rice Dishes,1.7/5,"Nasrin's Cuisine,Wari",https://maps.app.goo.gl/9mz7cMwbBPNAZqhRA
Hoang Kitchen,Wari,Chinese,3.8/5,"Hoang Kitchen,Wari",https://maps.app.goo.gl/HfDnJFJu1SNALGsr5
Momosu,Wari,Dumpling,4.4/5,"Momosu,Wari",https://maps.app.goo.gl/jaLpSieXKkfejycV8
Boss Sweets Paltan,Wari,Dessert,4.8/5,"Boss Sweets Paltan,Wari",https://maps.app.goo.gl/eoAbu5y39sYDfM6t9
Boss Sweets Motijheel,Wari,Dessert,4.5/5,"Boss Sweets Motijheel,Wari",https://maps.app.goo.gl/6RDdwtMKjFRZ8dux7
