Restaurant_Name,Location,Cuisine,Rating,Address,Map
Indulge - Banani,Banani,Beverage,4.3/5,"Indulge - Banani,banani",https://maps.app.goo.gl/FSoJQRBtMKrMQteN7
Star Kabab - Banani,Banani,Kebab,4.3/5,"Star Kabab - Banani,banani",https://maps.app.goo.gl/BjHNsvceL7uxrfDQ8
WOK Asian Street Food,Banani,Chinese,4.7/5,"WOK Asian Street Food,banani",https://maps.app.goo.gl/5rDaeRvs9LZXLXH86
Lucknow,Banani,Indian,4.3/5,"Lucknow,banani",https://maps.app.goo.gl/wKdSDtd78LXJYv3f7
Tiffinbox,Banani,Snacks,4.1/5,"Tiffinbox,banani",https://maps.app.goo.gl/WdVjwEjn12WTXtpT8
KFC Banani,Banani,Fried Chicken,4.3/5,"KFC Banani,banani",https://maps.app.goo.gl/4aT4TVex7BbxLpps7
Burgwich Town Fusion Cafe - Banani,Banani,Indian,4.5/5,"Burgwich Town Fusion Cafe - Banani,banani",https://maps.app.goo.gl/7SxiHyV9anMPmgjX9
15th Century Coffee & Bakery - Banani,Banani,Bakery,4/5,"15th Century Coffee & Bakery - Banani,banani",https://maps.app.goo.gl/DtdJJDYNFe4yw5mB7
Pizza Hut - Banani,Banani,Pizza,4.3/5,"Pizza Hut - Banani,banani",https://maps.app.goo.gl/vS3HjHbd9miYbVRe9
Chatime - Banani,Banani,Cafe,4.4/5,"Chatime - Banani,banani",https://maps.app.goo.gl/1BUw2Bmh93zh7YjA9
Grand Moharaj - Banani,Banani,Kebab,4.1/5,"Grand Moharaj - Banani,banani",https://maps.app.goo.gl/L6PF1bPv21EpbCKt5
Kalimpong Momo Co - Banani,Banani,Dumpling,4/5,"Kalimpong Momo Co - Banani,banani",https://maps.app.goo.gl/RmhH3aFzFDZbeDqz9
TOUM - Banani,Banani,Middle Eastern,4.4/5,"TOUM - Banani,banani",https://maps.app.goo.gl/1DqmVrpJZVNLbWn36
Delifrance - Banani,Banani,Beverage,4.9/5,"Delifrance - Banani,banani",https://maps.app.goo.gl/3hXGtHvwt1miABjNA
Kathmandu Cafe,Banani,Cafe,4.4/5,"Kathmandu Cafe,banani",https://maps.app.goo.gl/enjq7iyc7hGaPbGB9
North End Coffee Roasters - Banani,Banani,Cafe,4.7/5,"North End Coffee Roasters - Banani,banani",https://maps.app.goo.gl/GKzgcFvhX1GoM9RG7
Durum (Turkish Doner),Banani,Wraps,4.5/5,"Durum (Turkish Doner),banani",https://maps.app.goo.gl/WQkRjy35xpvQUQii6
Aaheli Kabab & Restaurant,Banani,Kebab,4.4/5,"Aaheli Kabab & Restaurant,banani",https://maps.app.goo.gl/mRBHAZxYnz6YmPmg9
